title,wiki_slug,year,screenwriters,directors,cast_from_list,genre,awards,notes,cast_count,period
משהו מתוק,משהו_מתוק,2004,"[{""name"": ""אופיר בביוף"", ""slug"": ""אופיר_בביוף""}]","[{""name"": ""דן תורג'מן"", ""slug"": ""דן_תורג'מן""}]","[{""name"": ""דן תורג'מן"", ""slug"": null}]",דרמה,2004,,1,C (>1990)
סוף העולם שמאלה,סוף_העולם_שמאלה,2004,"[{""name"": ""אבי נשר"", ""slug"": ""אבי_נשר""}, {""name"": ""שרה עזר"", ""slug"": null}, {""name"": ""רובי פורת שובל"", ""slug"": ""רובי_פורת_שובל""}]","[{""name"": ""אבי נשר"", ""slug"": null}]","[{""name"": ""נטע גרטי"", ""slug"": ""נטע_גרטי""}, {""name"": ""לירז צ'רכי"", ""slug"": ""לירז_צ'רכי""}]",דרמה,2004,,2,C (>1990)
עטאש (צימאון),עטאש_(צימאון),2004,"[{""name"": ""תאופיק אבו ואיל"", ""slug"": ""תאופיק_אבו_ואיל""}]","[{""name"": ""תאופיק אבו ואיל"", ""slug"": null}]","[{""name"": ""עמאל בויראט"", ""slug"": null}, {""name"": ""רובא בלאל-עספור"", ""slug"": ""רובא_בלאל-עספור""}, {""name"": ""חוסיין יאסין מחאג׳נה"", ""slug"": null}]",דרמה,2004,,3,C (>1990)
סיפור קיץ,סיפור_קיץ,2004,"[{""name"": ""שמואל חיימוביץ'"", ""slug"": ""שמואל_חיימוביץ'_(במאי)""}]","[{""name"": ""שמואל חיימוביץ'"", ""slug"": null}]","[{""name"": ""איה קורן"", ""slug"": ""איה_קורן""}, {""name"": ""קוסטה קפלן"", ""slug"": null}]",דרמה,2004,,2,C (>1990)
אזור חופשי,אזור_חופשי,2005,"[{""name"": ""עמוס גיתאי"", ""slug"": ""עמוס_גיתאי""}, {""name"": ""מארי-ז'וזה סנסלם"", ""slug"": null}]","[{""name"": ""עמוס גיתאי"", ""slug"": null}]","[{""name"": ""נטלי פורטמן"", ""slug"": ""נטלי_פורטמן""}, {""name"": ""היאם עבאס"", ""slug"": ""היאם_עבאס""}, {""name"": ""חנה לסלאו"", ""slug"": ""חנה_לסלאו""}]",דרמה,2005,,3,C (>1990)
ולקחת לך אישה,ולקחת_לך_אישה,2005,"[{""name"": ""רונית אלקבץ"", ""slug"": ""רונית_אלקבץ""}, {""name"": ""שלומי אלקבץ"", ""slug"": ""שלומי_אלקבץ""}]","[{""name"": ""רונית אלקבץ"", ""slug"": null}, {""name"": ""שלומי אלקבץ"", ""slug"": null}]","[{""name"": ""שלומי אבקריאן"", ""slug"": null}, {""name"": ""רונית אלקבץ"", ""slug"": null}, {""name"": ""יחיאל אלקבץ"", ""slug"": null}]",דרמה,2005,,3,C (>1990)
איזה מקום נפלא,איזה_מקום_נפלא,2005,"[{""name"": ""אייל חלפון"", ""slug"": ""אייל_חלפון""}]","[{""name"": ""אייל חלפון"", ""slug"": null}]","[{""name"": ""אורי גבריאל"", ""slug"": ""אורי_גבריאל""}, {""name"": ""אוולין קפלון"", ""slug"": ""אוולין_קפלון""}, {""name"": ""אבי אוריה"", ""slug"": ""אבי_אוריה""}]",דרמה,2005,,3,C (>1990)
אלנבי רומאנס,אלנבי_רומאנס,2005,"[{""name"": ""ינאי גוז"", ""slug"": null}, {""name"": ""יוני זיכהולץ"", ""slug"": ""יוני_זיכהולץ""}]","[{""name"": ""ינאי גוז"", ""slug"": null}, {""name"": ""יוני זיכהולץ"", ""slug"": null}]","[{""name"": ""דני גבע"", ""slug"": ""דני_גבע""}, {""name"": ""הילי ילון"", ""slug"": ""הילי_ילון""}]",דרמה,2005,,2,C (>1990)
גן עדן עכשיו,גן_עדן_עכשיו,2005,"[{""name"": ""האני אבו אסעד"", ""slug"": ""האני_אבו_אסעד""}, {""name"": ""ברו בראייר"", ""slug"": null}]","[{""name"": ""האני אבו אסעד"", ""slug"": null}]",[],דרמה,2005,,0,C (>1990)
דיסטורשן,דיסטורשן_(סרט),2005,"[{""name"": ""חיים בוזגלו"", ""slug"": ""חיים_בוזגלו""}]","[{""name"": ""חיים בוזגלו"", ""slug"": null}]","[{""name"": ""סמדר קילצ'ינסקי"", ""slug"": ""סמדר_קילצ'ינסקי""}, {""name"": ""עמוס לביא"", ""slug"": ""עמוס_לביא""}, {""name"": ""חיים בוזגלו"", ""slug"": null}]",דרמה,2005,,3,C (>1990)
החשוד האחרון,החשוד_האחרון,2005,"[{""name"": ""מתי הררי"", ""slug"": ""מתי_הררי_(יוצר)""}, {""name"": ""אריק לובצקי"", ""slug"": ""אריק_לובצקי""}]","[{""name"": ""מתי הררי"", ""slug"": ""מתי_הררי_(יוצר)""}, {""name"": ""אריק לובצקי"", ""slug"": ""אריק_לובצקי""}]","[{""name"": ""שמיל בן ארי"", ""slug"": ""שמיל_בן_ארי""}]",דרמה,2005,,1,C (>1990)
ימים קפואים,ימים_קפואים,2005,"[{""name"": ""דני לרנר"", ""slug"": ""דני_לרנר""}]","[{""name"": ""דני לרנר"", ""slug"": null}]","[{""name"": ""ענת קלאוזנר"", ""slug"": ""ענת_קלאוזנר""}, {""name"": ""סנדרה שדה"", ""slug"": ""סנדרה_שדה""}]",דרמה,2005,,2,C (>1990)
ימים של אהבה,ימים_של_אהבה,2005,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]","[{""name"": ""מנחם גולן"", ""slug"": null}]","[{""name"": ""יוסף שילוח"", ""slug"": ""יוסף_שילוח""}, {""name"": ""מאיה בוסקילה"", ""slug"": ""מאיה_בוסקילה""}, {""name"": ""ניר לוי"", ""slug"": ""ניר_לוי""}]",דרמה,2005,,3,C (>1990)
מוכרחים להיות שמח,מוכרחים_להיות_שמח,2005,"[{""name"": ""עומר תדמור"", ""slug"": ""עומר_תדמור""}]","[{""name"": ""ג'ולי שלז"", ""slug"": ""ג'ולי_שלז""}]","[{""name"": ""סיגלית פוקס"", ""slug"": ""סיגלית_פוקס""}, {""name"": ""טל פרידמן"", ""slug"": ""טל_פרידמן""}, {""name"": ""דורית לב ארי"", ""slug"": ""דורית_לב_ארי""}, {""name"": ""קרן מור"", ""slug"": ""קרן_מור""}]",דרמה,2005,,4,C (>1990)
קרוב לבית,קרוב_לבית_(סרט),2005,"[{""name"": ""דליה הגר"", ""slug"": null}, {""name"": ""וידי (ורדית) בילו"", ""slug"": null}]","[{""name"": ""וידי (ורדית) בילו"", ""slug"": null}, {""name"": ""דליה הגר"", ""slug"": null}]","[{""name"": ""סמדר סייר"", ""slug"": ""סמדר_סייר""}, {""name"": ""אירית סוקי"", ""slug"": ""אירית_סוקי""}, {""name"": ""נעמה שנדר"", ""slug"": ""נעמה_שנדר""}]",דרמה,2005,,3,C (>1990)
ריקי ריקי,ריקי_ריקי,2005,"[{""name"": ""דלית קהן"", ""slug"": ""דלית_קהן""}]","[{""name"": ""איתן ענר"", ""slug"": ""איתן_ענר""}]","[{""name"": ""גורי אלפי"", ""slug"": ""גורי_אלפי""}, {""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}, {""name"": ""טל פרידמן"", ""slug"": ""טל_פרידמן""}]",קומדיה,2005,,3,C (>1990)
לרקוד,לרקוד,2005,"[{""name"": ""חיים מרין"", ""slug"": ""חיים_מרין""}]","[{""name"": ""מרק רוזנבאום"", ""slug"": ""מרק_רוזנבאום""}]","[{""name"": ""מיטל דוהן"", ""slug"": ""מיטל_דוהן""}, {""name"": ""אלון אבוטבול"", ""slug"": ""אלון_אבוטבול""}, {""name"": ""יובל סגל"", ""slug"": ""יובל_סגל_(1971)""}, {""name"": ""אורי קלאוזנר"", ""slug"": ""אורי_קלאוזנר""}, {""name"": ""מוני מושונוב"", ""slug"": ""מוני_מושונוב""}]",דרמה,2005,,5,C (>1990)
מלנומה אהובתי,מלנומה_אהובתי,2005,"[{""name"": ""יוסי מדמוני"", ""slug"": ""יוסי_מדמוני""}, {""name"": ""דוד אופק"", ""slug"": ""דוד_אופק""}]","[{""name"": ""יוסי מדמוני"", ""slug"": null}, {""name"": ""דוד אופק"", ""slug"": null}]","[{""name"": ""יגאל עדיקא"", ""slug"": ""יגאל_עדיקא""}, {""name"": ""שרון צוקרמן"", ""slug"": null}]",דרמה,2005,,2,C (>1990)
ג'נאם ג'נאם,ג'נאם_ג'נאם,2005,"[{""name"": ""חיים בוזגלו"", ""slug"": ""חיים_בוזגלו""}]","[{""name"": ""חיים בוזגלו"", ""slug"": null}]","[{""name"": ""דני רוטנברג"", ""slug"": null}, {""name"": ""אביטל דיקר"", ""slug"": ""אביטל_דיקר""}, {""name"": ""דור צויגנבום"", ""slug"": ""דור_צויגנבום""}]",דרמה,2005,,3,C (>1990)
שושלת שוורץ,שושלת_שוורץ,2005,"[{""name"": ""אמיר הספרי"", ""slug"": ""אמיר_הספרי""}]","[{""name"": ""שמואל הספרי"", ""slug"": ""שמואל_הספרי""}]","[{""name"": ""מרים זוהר"", ""slug"": ""מרים_זוהר""}, {""name"": ""טל פרידמן"", ""slug"": ""טל_פרידמן""}, {""name"": ""יהודה לוי"", ""slug"": ""יהודה_לוי_(שחקן)""}]",דרמה,2005,,3,C (>1990)
תחיה ותהיה,תחיה_ותהיה,2005,"[{""name"": ""ראדו מיכאיליאנו"", ""slug"": ""ראדו_מיכאיליאנו""}]","[{""name"": ""ראדו מיכאלנו"", ""slug"": null}]","[{""name"": ""יעל אבקסיס"", ""slug"": ""יעל_אבקסיס""}, {""name"": ""רוני הדר"", ""slug"": ""רוני_הדר""}, {""name"": ""רמי דנון"", ""slug"": ""רמי_דנון""}]",דרמה,2005,,3,C (>1990)
ברונו מאוהב,ברונו_מאוהב,2006,"[{""name"": ""אמיר בן סירה"", ""slug"": null}, {""name"": ""ליאור כפיר רפאל"", ""slug"": ""ליאור_כפיר_רפאל""}]","[{""name"": ""אילן הייטנר"", ""slug"": ""אילן_הייטנר""}]","[{""name"": ""אוהד קנולר"", ""slug"": ""אוהד_קנולר""}, {""name"": ""שמרית לוסטיג"", ""slug"": ""שמרית_לוסטיג""}, {""name"": ""בני אבני"", ""slug"": ""בני_אבני""}, {""name"": ""מיכל פורס"", ""slug"": null}]",דרמה,2006,,4,C (>1990)
NO אקזיט,NO_אקזיט,2006,"[{""name"": ""דרור סבו"", ""slug"": ""דרור_סבו""}]","[{""name"": ""דרור סבו"", ""slug"": null}]","[{""name"": ""עופר שכטר"", ""slug"": ""עופר_שכטר""}, {""name"": ""גל זייד"", ""slug"": ""גל_זייד""}, {""name"": ""נועה ברקאי"", ""slug"": ""נועה_ברקאי""}, {""name"": ""מלי לוי"", ""slug"": ""מלי_לוי""}]",דרמה,2006,,4,C (>1990)
אביבה אהובתי,אביבה_אהובתי,2006,"[{""name"": ""שמי זרחין"", ""slug"": ""שמי_זרחין""}]","[{""name"": ""שמי זרחין"", ""slug"": null}]","[{""name"": ""אסי לוי"", ""slug"": ""אסי_לוי""}, {""name"": ""רותם אבוהב"", ""slug"": ""רותם_אבוהב""}, {""name"": ""דרור קרן"", ""slug"": ""דרור_קרן""}, {""name"": ""לבנה פינקלשטיין"", ""slug"": ""לבנה_פינקלשטיין""}, {""name"": ""נתן רביץ"", ""slug"": ""נתן_רביץ""}]",דרמה,2006,,5,C (>1990)
אדמה משוגעת,אדמה_משוגעת,2006,"[{""name"": ""דרור שאול"", ""slug"": ""דרור_שאול""}]","[{""name"": ""דרור שאול"", ""slug"": null}]","[{""name"": ""תומר שטיינהוף"", ""slug"": null}, {""name"": ""רונית יודקביץ'"", ""slug"": ""רונית_יודקביץ'""}, {""name"": ""שי אביבי"", ""slug"": ""שי_אביבי""}]",דרמה,2006,,3,C (>1990)
בקרוב יקרה לך משהו טוב,בקרוב_יקרה_לך_משהו_טוב,2006,"[{""name"": ""עוזי וייל"", ""slug"": ""עוזי_וייל""}]","[{""name"": ""אייל שיראי"", ""slug"": ""אייל_שיראי""}]","[{""name"": ""אדם הירש"", ""slug"": ""אדם_הירש""}, {""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}, {""name"": ""טינקרבל"", ""slug"": ""טינקרבל""}]",דרמה,2006,,3,C (>1990)
גיבורים קטנים,גיבורים_קטנים,2006,"[{""name"": ""ערן ב.י."", ""slug"": ""ערן_ב.י.""}]","[{""name"": ""איתי לב"", ""slug"": ""איתי_לב_(במאי)""}]","[{""name"": ""אביגיל אריאלי"", ""slug"": ""אביגיל_אריאלי""}, {""name"": ""ציון ברוך"", ""slug"": ""ציון_ברוך""}, {""name"": ""לוסי דובינצ'יק"", ""slug"": ""לוסי_דובינצ'יק""}, {""name"": ""דאנה איבגי"", ""slug"": ""דאנה_איבגי""}]",ילדים,2006,,4,C (>1990)
הבועה,הבועה,2006,"[{""name"": ""גל אוחובסקי"", ""slug"": ""גל_אוחובסקי""}, {""name"": ""איתן פוקס"", ""slug"": ""איתן_פוקס""}]","[{""name"": ""איתן פוקס"", ""slug"": null}]","[{""name"": ""אוהד קנולר"", ""slug"": ""אוהד_קנולר""}, {""name"": ""יוסף סוויד"", ""slug"": ""יוסף_סוויד""}, {""name"": ""דניאלה וירצר"", ""slug"": ""דניאלה_וירצר""}, {""name"": ""אלון פרידמן"", ""slug"": ""אלון_פרידמן""}]",דרמה,2006,,4,C (>1990)
הדברים שמאחורי השמש,הדברים_שמאחורי_השמש,2006,"[{""name"": ""יובל שפרמן"", ""slug"": ""יובל_שפרמן""}]","[{""name"": ""יובל שפרמן"", ""slug"": null}]","[{""name"": ""טלי שרון"", ""slug"": ""טלי_שרון""}, {""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}, {""name"": ""סנדרה שדה"", ""slug"": ""סנדרה_שדה""}, {""name"": ""זהר שטראוס"", ""slug"": ""זהר_שטראוס""}]",דרמה,2006,,4,C (>1990)
ידיים קשורות,ידיים_קשורות,2006,"[{""name"": ""דן וולמן"", ""slug"": ""דן_וולמן""}, {""name"": ""אושרה שוורץ"", ""slug"": ""אושרה_שוורץ""}, {""name"": ""יעקב רוזן"", ""slug"": ""יעקב_רוזן""}]","[{""name"": ""דן וולמן"", ""slug"": null}]","[{""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}, {""name"": ""עידו תדמור"", ""slug"": ""עידו_תדמור""}, {""name"": ""נלי תגר"", ""slug"": ""נלי_תגר""}, {""name"": ""שרון שטרק"", ""slug"": ""שרון_שטרק""}]",דרמה,2006,,4,C (>1990)
למראית עין,למראית_עין,2006,"[{""name"": ""נועה גרינברג"", ""slug"": null}, {""name"": ""נח סטולמן"", ""slug"": ""נח_סטולמן""}]","[{""name"": ""דניאל סירקין"", ""slug"": ""דניאל_סירקין""}]","[{""name"": ""טלי שרון"", ""slug"": ""טלי_שרון""}, {""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}, {""name"": ""סנדרה שדה"", ""slug"": ""סנדרה_שדה""}]",דרמה,2006,,3,C (>1990)
מחילות,מחילות,2006,"[{""name"": ""אודי אלוני"", ""slug"": ""אודי_אלוני""}]","[{""name"": ""אודי אלוני"", ""slug"": null}]","[{""name"": ""איתי טיראן"", ""slug"": ""איתי_טיראן""}, {""name"": ""קלרה ח'ורי"", ""slug"": ""קלרה_ח'ורי""}, {""name"": ""מוני מושונוב"", ""slug"": ""מוני_מושונוב""}, {""name"": ""מכרם ח'ורי"", ""slug"": ""מכרם_ח'ורי""}]",דרמה,2006,,4,C (>1990)
מישהו לרוץ איתו,מישהו_לרוץ_איתו_(סרט),2006,"[{""name"": ""נח סטולמן"", ""slug"": ""נח_סטולמן""}]","[{""name"": ""עודד דוידוף"", ""slug"": ""עודד_דוידוף""}]","[{""name"": ""בר בלפר"", ""slug"": ""בר_בלפר""}, {""name"": ""יונתן בר-אור"", ""slug"": ""יונתן_בר-אור_(1981)""}, {""name"": ""צחי גראד"", ""slug"": ""צחי_גראד""}, {""name"": ""רינת מטטוב"", ""slug"": ""רינת_מטטוב""}, {""name"": ""יובל מנדלסון"", ""slug"": ""יובל_מנדלסון""}]",דרמה,2006,,5,C (>1990)
מכתבים לאמריקה,מכתבים_לאמריקה,2006,"[{""name"": ""חנן פלד"", ""slug"": ""חנן_פלד""}]","[{""name"": ""חנן פלד"", ""slug"": null}]","[{""name"": ""רמי הויברגר"", ""slug"": ""רמי_הויברגר""}]",דרמה,2006,,1,C (>1990)
מלח הארץ,מלח_הארץ_(סרט),2006,"[{""name"": ""בני ברבש"", ""slug"": ""בני_ברבש""}]","[{""name"": ""אורי ברבש"", ""slug"": ""אורי_ברבש""}]","[{""name"": ""ליאור אשכנזי"", ""slug"": ""ליאור_אשכנזי""}, {""name"": ""אקי אבני"", ""slug"": ""אקי_אבני""}, {""name"": ""לוסי דובינצ'יק"", ""slug"": ""לוסי_דובינצ'יק""}, {""name"": ""לימור גולדשטיין"", ""slug"": ""לימור_גולדשטיין""}]",דרמה,2006,,4,C (>1990)
נוזהת אל-פואד,נוזהת_אל-פואד,2006,"[{""name"": ""יהודה נאמן"", ""slug"": ""יהודה_נאמן""}, {""name"": ""שירלי רם-עמית"", ""slug"": null}, {""name"": ""דניאל אביצור"", ""slug"": null}]","[{""name"": ""יהודה נאמן"", ""slug"": null}]","[{""name"": ""מוחמד בכרי"", ""slug"": ""מוחמד_בכרי""}, {""name"": ""אפרת גוש"", ""slug"": ""אפרת_גוש""}]",דרמה,2006,,2,C (>1990)
סיפור חצי רוסי,סיפור_חצי_רוסי,2006,"[{""name"": ""איתן ענר"", ""slug"": ""איתן_ענר""}]","[{""name"": ""איתן ענר"", ""slug"": null}]","[{""name"": ""יבגניה דודינה"", ""slug"": ""יבגניה_דודינה""}, {""name"": ""אבי קושניר"", ""slug"": ""אבי_קושניר""}]",דרמה,2006,,2,C (>1990)
שלוש אמהות,שלוש_אמהות,2006,"[{""name"": ""דינה צבי-ריקליס"", ""slug"": ""דינה_צבי-ריקליס""}, {""name"": ""עלמה גניהר"", ""slug"": ""עלמה_גניהר""}]","[{""name"": ""דינה צבי-ריקליס"", ""slug"": null}]","[{""name"": ""מירי מסיקה"", ""slug"": ""מירי_מסיקה""}, {""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}]",דרמה,2006,,2,C (>1990)
אסקימוסים בגליל,אסקימוסים_בגליל,2007,"[{""name"": ""יהושע סובול"", ""slug"": ""יהושע_סובול""}, {""name"": ""יונתן פז"", ""slug"": ""יונתן_פז""}]","[{""name"": ""יונתן פז"", ""slug"": null}]","[{""name"": ""ז'רמן אוניקובסקי"", ""slug"": ""ז'רמן_אוניקובסקי""}, {""name"": ""מוסקו אלקלעי"", ""slug"": ""מוסקו_אלקלעי""}, {""name"": ""גבי עמרני"", ""slug"": ""גבי_עמרני""}]",דרמה,2007,,3,C (>1990)
בופור,בופור_(סרט),2007,"[{""name"": ""יוסף סידר"", ""slug"": ""יוסף_סידר""}, {""name"": ""רון לשם"", ""slug"": ""רון_לשם""}]","[{""name"": ""יוסף סידר"", ""slug"": null}]","[{""name"": ""אושרי כהן"", ""slug"": ""אושרי_כהן""}, {""name"": ""אוהד קנולר"", ""slug"": ""אוהד_קנולר""}, {""name"": ""אלון אבוטבול"", ""slug"": ""אלון_אבוטבול""}]",דרמה,2007,,3,C (>1990)
ביקור התזמורת,ביקור_התזמורת,2007,"[{""name"": ""ערן קולירין"", ""slug"": ""ערן_קולירין""}]","[{""name"": ""ערן קולירין"", ""slug"": null}]","[{""name"": ""ששון גבאי"", ""slug"": ""ששון_גבאי""}, {""name"": ""רונית אלקבץ"", ""slug"": ""רונית_אלקבץ""}, {""name"": ""סאלח בכרי"", ""slug"": ""סאלח_בכרי""}, {""name"": ""ח'ליפה נאטור"", ""slug"": ""ח'ליפה_נאטור""}]",דרמה,2007,,4,C (>1990)
החוב,"החוב_(סרט,_2007)",2007,"[{""name"": ""אסף ברנשטיין"", ""slug"": ""אסף_ברנשטיין""}, {""name"": ""עידו רוזנבלום"", ""slug"": ""עידו_רוזנבלום""}]","[{""name"": ""אסף ברנשטיין"", ""slug"": null}]","[{""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}, {""name"": ""נטע גרטי"", ""slug"": ""נטע_גרטי""}, {""name"": ""יחזקאל לזרוב"", ""slug"": ""יחזקאל_לזרוב""}]",דרמה,2007,,3,C (>1990)
המוסד הסגור,המוסד_הסגור,2007,"[{""name"": ""אלון גור אריה"", ""slug"": ""אלון_גור_אריה""}, {""name"": ""נועם שגב"", ""slug"": null}]","[{""name"": ""אלון גור אריה"", ""slug"": null}]","[{""name"": ""רון שחר"", ""slug"": ""רון_שחר""}, {""name"": ""אילן דר"", ""slug"": ""אילן_דר""}, {""name"": ""לנה אטינגר"", ""slug"": ""לנה_אטינגר""}]",קומדיה,2007,,3,C (>1990)
המקלט,"המקלט_(סרט,_2007)",2007,"[{""name"": ""רועי הורנשטיין"", ""slug"": null}]","[{""name"": ""רועי הורנשטיין"", ""slug"": null}]","[{""name"": ""יחזקאל לזרוב"", ""slug"": ""יחזקאל_לזרוב""}, {""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}]",דרמה,2007,,2,C (>1990)
הסודות,הסודות,2007,"[{""name"": ""אבי נשר"", ""slug"": ""אבי_נשר""}, {""name"": ""הדר גלרון"", ""slug"": ""הדר_גלרון""}]","[{""name"": ""אבי נשר"", ""slug"": null}]","[{""name"": ""אניה בוקשטיין"", ""slug"": ""אניה_בוקשטיין""}, {""name"": ""מיכל שטמלר"", ""slug"": ""מיכל_שטמלר""}, {""name"": ""טלי אורן"", ""slug"": ""טלי_אורן""}, {""name"": ""פאני ארדן"", ""slug"": ""פאני_ארדן""}, {""name"": ""אדיר מילר"", ""slug"": ""אדיר_מילר""}, {""name"": ""תיקי דיין"", ""slug"": ""תיקי_דיין""}]",דרמה,2007,,6,C (>1990)
התנתקות,התנתקות_(סרט),2007,"[{""name"": ""עמוס גיתאי"", ""slug"": ""עמוס_גיתאי""}, {""name"": ""מארי-ז'וזה סנסלם"", ""slug"": null}]","[{""name"": ""עמוס גיתאי"", ""slug"": null}]","[{""name"": ""ז'ולייט בינוש"", ""slug"": ""ז'ולייט_בינוש""}, {""name"": ""דאנה איבגי"", ""slug"": ""דאנה_איבגי""}, {""name"": ""לירון לבו"", ""slug"": ""לירון_לבו""}]",דרמה,2007,,3,C (>1990)
חופשת קיץ,"חופשת_קיץ_(סרט,_2007)",2007,"[{""name"": ""דוד ולך"", ""slug"": ""דוד_ולך""}]","[{""name"": ""דוד ולך"", ""slug"": null}]","[{""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}, {""name"": ""שרון הכהן-בר"", ""slug"": ""שרון_הכהן-בר""}, {""name"": ""גיל ססובר"", ""slug"": ""גיל_ססובר""}]",דרמה,2007,,3,C (>1990)
יפאן יפאן,יפאן_יפאן,2007,[],"[{""name"": ""ליאור שמריז"", ""slug"": null}]","[{""name"": ""אמרי קאהן"", ""slug"": null}]",דרמה,2007,,1,C (>1990)
מדוזות,מדוזות_(סרט),2007,"[{""name"": ""שירה גפן"", ""slug"": ""שירה_גפן""}]","[{""name"": ""אתגר קרת"", ""slug"": ""אתגר_קרת""}, {""name"": ""שירה גפן"", ""slug"": null}]","[{""name"": ""שרה אדלר"", ""slug"": ""שרה_אדלר""}, {""name"": ""נועה קנולר"", ""slug"": ""נועה_קנולר""}, {""name"": ""גרא סנדלר"", ""slug"": ""גרא_סנדלר""}, {""name"": ""זהרירה חריפאי"", ""slug"": ""זהרירה_חריפאי""}]",דרמה,2007,,4,C (>1990)
מלך של קבצנים,מלך_של_קבצנים,2007,"[{""name"": ""אורי פסטר"", ""slug"": ""אורי_פסטר""}]","[{""name"": ""אורי פסטר"", ""slug"": null}]","[{""name"": ""גילי סער"", ""slug"": ""גילי_סער""}, {""name"": ""מוסקו אלקלעי"", ""slug"": ""מוסקו_אלקלעי""}, {""name"": ""רובי פורת שובל"", ""slug"": ""רובי_פורת_שובל""}, {""name"": ""עמוס לביא"", ""slug"": ""עמוס_לביא""}, {""name"": ""חיים זנאתי"", ""slug"": ""חיים_זנאתי""}]",דרמה,2007,,5,C (>1990)
נודל,נודל_(סרט),2007,"[{""name"": ""איילת מנחמי"", ""slug"": ""איילת_מנחמי""}, {""name"": ""שמי זרחין"", ""slug"": ""שמי_זרחין""}]","[{""name"": ""איילת מנחמי"", ""slug"": null}]","[{""name"": ""מילי אביטל"", ""slug"": ""מילי_אביטל""}, {""name"": ""ענת וקסמן"", ""slug"": ""ענת_וקסמן""}, {""name"": ""אלון אבוטבול"", ""slug"": ""אלון_אבוטבול""}, {""name"": ""יפתח קליין"", ""slug"": ""יפתח_קליין""}]",דרמה,2007,,4,C (>1990)
ריקוד מסוכן,ריקוד_מסוכן,2007,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]","[{""name"": ""מנחם גולן"", ""slug"": null}]","[{""name"": ""עומר ברנע"", ""slug"": ""עומר_ברנע""}, {""name"": ""מיכל אמדורסקי"", ""slug"": ""מיכל_אמדורסקי""}, {""name"": ""אליענה בקייר"", ""slug"": ""אליענה_בקייר""}, {""name"": ""זהר ליבה"", ""slug"": ""זהר_ליבה""}]",דרמה,2007,,4,C (>1990)
רק כלבים רצים חופשי,רק_כלבים_רצים_חופשי,2007,"[{""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}]","[{""name"": ""ארנון צדוק"", ""slug"": ""ארנון_צדוק""}]","[{""name"": ""ליאור אשכנזי"", ""slug"": ""ליאור_אשכנזי""}, {""name"": ""איילת זורר"", ""slug"": ""איילת_זורר""}]",דרמה,2007,,2,C (>1990)
תהילים,תהילים_(סרט),2007,"[{""name"": ""רפאל נג'ארי"", ""slug"": ""רפאל_נג'ארי""}, {""name"": ""וינסנט פומירו"", ""slug"": null}]","[{""name"": ""רפאל נג'ארי"", ""slug"": null}]","[{""name"": ""מיכאל מושונוב"", ""slug"": ""מיכאל_מושונוב""}, {""name"": ""לימור גולדשטיין"", ""slug"": ""לימור_גולדשטיין""}, {""name"": ""אילן דר"", ""slug"": ""אילן_דר""}]",דרמה,2007,,3,C (>1990)
רחמים,"רחמים_(סרט,_2007)",2007,"[{""name"": ""יניב אמודאי"", ""slug"": null}]","[{""name"": ""יניב אמודאי"", ""slug"": null}]","[{""name"": ""יגאל עדיקא"", ""slug"": ""יגאל_עדיקא""}, {""name"": ""שלום אסייג"", ""slug"": ""שלום_אסייג""}, {""name"": ""ג'וליה מסלאווי"", ""slug"": ""ג'וליה_מסלאווי""}, {""name"": ""דרור קרן"", ""slug"": ""דרור_קרן""}, {""name"": ""מורן אטיאס"", ""slug"": ""מורן_אטיאס""}, {""name"": ""פלורנס בלוך"", ""slug"": ""פלורנס_בלוך""}, {""name"": ""אופירה רחמים"", ""slug"": ""אופירה_רחמים""}, {""name"": ""צביקה הדר"", ""slug"": ""צביקה_הדר""}, {""name"": ""גברי לוי"", ""slug"": ""גברי_לוי""}]",קומדיה,2007,,9,C (>1990)
הרי את,הרי_את_(סרט),2007,"[{""name"": ""פזית ליכטמן"", ""slug"": null}]","[{""name"": ""פזית ליכטמן"", ""slug"": null}]","[{""name"": ""אביטל אברג'יל"", ""slug"": ""אביטל_אברג'יל""}, {""name"": ""שרון פרידמן"", ""slug"": null}]",דרמה,2007,,2,C (>1990)
$9.99,$9.99,2008,"[{""name"": ""תתיה רוזנטל"", ""slug"": ""תתיה_רוזנטל""}, {""name"": ""אתגר קרת"", ""slug"": ""אתגר_קרת""}]","[{""name"": ""תתיה רוזנטל"", ""slug"": ""תתיה_רוזנטל""}]",[],אנימציה,2008,,0,C (>1990)
