title,wiki_slug,year,screenwriters,directors,cast_from_list,genre,awards,notes,cast_count,period
חור בלבנה,חור_בלבנה,1964,[],"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]","[{""name"": ""אברהם הפנר"", ""slug"": ""אברהם_הפנר""}, {""name"": ""אריק לביא"", ""slug"": ""אריק_לביא""}, {""name"": ""שושיק שני"", ""slug"": ""שושיק_שני""}, {""name"": ""שמוליק קראוס"", ""slug"": ""שמוליק_קראוס""}, {""name"": ""שייקה אופיר"", ""slug"": ""שייקה_אופיר""}, {""name"": ""דן בן אמוץ"", ""slug"": ""דן_בן_אמוץ""}, {""name"": ""זהרירה חריפאי"", ""slug"": ""זהרירה_חריפאי""}, {""name"": ""אורי זוהר"", ""slug"": null}]",דרמה,1964,,8,A (<=1970)
משפחת שמחון,משפחת_שמחון,1964,[],"[{""name"": ""יואל זילברג"", ""slug"": ""יואל_זילברג""}]","[{""name"": ""מאיר מרגלית"", ""slug"": ""מאיר_מרגלית""}, {""name"": ""עודד קוטלר"", ""slug"": ""עודד_קוטלר""}, {""name"": ""רינה גנור"", ""slug"": ""רינה_גנור""}]",קומדיה,1964,,3,A (<=1970)
סאלח שבתי,סאלח_שבתי,1964,[],"[{""name"": ""אפרים קישון"", ""slug"": ""אפרים_קישון""}]","[{""name"": ""חיים טופול"", ""slug"": ""חיים_טופול""}, {""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}, {""name"": ""גאולה נוני"", ""slug"": ""גאולה_נוני""}, {""name"": ""זהרירה חריפאי"", ""slug"": ""זהרירה_חריפאי""}, {""name"": ""אריק איינשטיין"", ""slug"": ""אריק_איינשטיין""}, {""name"": ""שייקה לוי"", ""slug"": ""שייקה_לוי""}]",קומדיה,1964,,6,A (<=1970)
שמונה בעקבות אחד,שמונה_בעקבות_אחד_(סרט),1964,[],"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]","[{""name"": ""אלישבע מיכאלי"", ""slug"": ""אלישבע_מיכאלי""}, {""name"": ""בומבה צור"", ""slug"": ""בומבה_צור""}, {""name"": ""שייקה אופיר"", ""slug"": ""שייקה_אופיר""}, {""name"": ""גאולה גיל"", ""slug"": ""גאולה_גיל""}]",ילדים,1964,,4,A (<=1970)
אולי תרדו שם,אולי_תרדו_שם,1964,[],"[{""name"": ""פוצ'ו"", ""slug"": ""פוצ'ו""}]","[{""name"": ""דבורה קידר"", ""slug"": ""דבורה_קידר""}, {""name"": ""יהודה פוקס"", ""slug"": ""יהודה_פוקס_(שחקן)""}, {""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}, {""name"": ""אריק איינשטיין"", ""slug"": ""אריק_איינשטיין""}]",ילדים,1964,,4,A (<=1970)
הבו בנות לאילת,הבו_בנות_לאילת,1964,[],"[{""name"": ""ליאו פילר"", ""slug"": ""ליאו_פילר""}, {""name"": ""נתן אכסלרוד"", ""slug"": ""נתן_אכסלרוד""}]","[{""name"": ""שלמה בר-שביט"", ""slug"": ""שלמה_בר-שביט""}, {""name"": ""אורי לוי"", ""slug"": ""אורי_לוי_(שחקן)""}]",,1964,,2,A (<=1970)
שבת המלכה,,1965,[],"[{""name"": ""אילן אלדד"", ""slug"": ""אילן_אלדד""}]","[{""name"": ""מייק בורשטיין"", ""slug"": ""מייק_בורשטיין""}, {""name"": ""רפאל קלצ'קין"", ""slug"": ""רפאל_קלצ'קין""}]",דרמה,1965,,2,A (<=1970)
הילד מעבר לרחוב,הילד_מעבר_לרחוב,1965,[],"[{""name"": ""יוסף שלחין"", ""slug"": ""יוסף_שלחין""}]","[{""name"": ""אריה אליאס"", ""slug"": ""אריה_אליאס""}, {""name"": ""שאול שלחין"", ""slug"": null}, {""name"": ""יעקב בנאי"", ""slug"": ""יעקב_בנאי""}, {""name"": ""ברוך דוד"", ""slug"": ""ברוך_דוד""}, {""name"": ""אביבה גר"", ""slug"": ""אביבה_גר""}]",ילדים,1965,,5,A (<=1970)
רק לא בשבת,רק_לא_בשבת,1965,[],"[{""name"": ""אלכס יופה"", ""slug"": null}]","[{""name"": ""דליה פרידלנד"", ""slug"": ""דליה_פרידלנד""}, {""name"": ""מישה אשרוב"", ""slug"": ""מישה_אשרוב""}, {""name"": ""אבנר חזקיהו"", ""slug"": ""אבנר_חזקיהו""}, {""name"": ""גאולה נוני"", ""slug"": ""גאולה_נוני""}]",קומדיה,1965,,4,A (<=1970)
גבעה 24 אינה עונה,גבעה_24_אינה_עונה,1965,[],"[{""name"": ""ת'ורולד דיקנסון"", ""slug"": null}]","[{""name"": ""אריק לביא"", ""slug"": ""אריק_לביא""}, {""name"": ""מיכאל שילה"", ""slug"": ""מיכאל_שילה""}, {""name"": ""חיה הררית"", ""slug"": ""חיה_הררית""}, {""name"": ""זלמן לביוש"", ""slug"": ""זלמן_לביוש""}, {""name"": ""עזריה רפפורט"", ""slug"": ""עזריה_רפפורט""}, {""name"": ""שושנה דמארי"", ""slug"": ""שושנה_דמארי""}, {""name"": ""יוסי ידין"", ""slug"": ""יוסי_ידין""}, {""name"": ""שרגא פרידמן"", ""slug"": ""שרגא_פרידמן""}, {""name"": ""שושנה דואר"", ""slug"": ""שושנה_דואר""}]",דרמה,1965,,9,A (<=1970)
