movie_slug,movie_title,year,genre,directors,cast_source,billing_position,actor_name,actor_slug
דליה_והמלחים,דליה והמלחים,1964,קומדיה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,4,עודד תאומי,עודד_תאומי
דליה_והמלחים,דליה והמלחים,1964,קומדיה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,5,יעקב בן-סירא,יעקב_בן-סירא
דליה_והמלחים,דליה והמלחים,1964,קומדיה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,6,חנן גולדבלט,חנן_גולדבלט
חור_בלבנה,חור בלבנה,1964,דרמה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,0,אברהם הפנר,אברהם_הפנר
חור_בלבנה,חור בלבנה,1964,דרמה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,1,אריק לביא,אריק_לביא
חור_בלבנה,חור בלבנה,1964,דרמה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,2,שושיק שני,שושיק_שני
חור_בלבנה,חור בלבנה,1964,דרמה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,3,שמוליק קראוס,שמוליק_קראוס
חור_בלבנה,חור בלבנה,1964,דרמה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,4,שייקה אופיר,שייקה_אופיר
חור_בלבנה,חור בלבנה,1964,דרמה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,5,דן בן אמוץ,דן_בן_אמוץ
חור_בלבנה,חור בלבנה,1964,דרמה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,6,זהרירה חריפאי,זהרירה_חריפאי
חור_בלבנה,חור בלבנה,1964,דרמה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,7,אורי זוהר,
משפחת_שמחון,משפחת שמחון,1964,קומדיה,"[{""name"": ""יואל זילברג"", ""slug"": ""יואל_זילברג""}]",list_table,0,מאיר מרגלית,מאיר_מרגלית
משפחת_שמחון,משפחת שמחון,1964,קומדיה,"[{""name"": ""יואל זילברג"", ""slug"": ""יואל_זילברג""}]",list_table,1,עודד קוטלר,עודד_קוטלר
משפחת_שמחון,משפחת שמחון,1964,קומדיה,"[{""name"": ""יואל זילברג"", ""slug"": ""יואל_זילברג""}]",list_table,2,רינה גנור,רינה_גנור
סאלח_שבתי,סאלח שבתי,1964,קומדיה,"[{""name"": ""אפרים קישון"", ""slug"": ""אפרים_קישון""}]",list_table,0,חיים טופול,חיים_טופול
סאלח_שבתי,סאלח שבתי,1964,קומדיה,"[{""name"": ""אפרים קישון"", ""slug"": ""אפרים_קישון""}]",list_table,1,גילה אלמגור,גילה_אלמגור
סאלח_שבתי,סאלח שבתי,1964,קומדיה,"[{""name"": ""אפרים קישון"", ""slug"": ""אפרים_קישון""}]",list_table,2,גאולה נוני,גאולה_נוני
סאלח_שבתי,סאלח שבתי,1964,קומדיה,"[{""name"": ""אפרים קישון"", ""slug"": ""אפרים_קישון""}]",list_table,3,זהרירה חריפאי,זהרירה_חריפאי
סאלח_שבתי,סאלח שבתי,1964,קומדיה,"[{""name"": ""אפרים קישון"", ""slug"": ""אפרים_קישון""}]",list_table,4,אריק איינשטיין,אריק_איינשטיין
סאלח_שבתי,סאלח שבתי,1964,קומדיה,"[{""name"": ""אפרים קישון"", ""slug"": ""אפרים_קישון""}]",list_table,5,שייקה לוי,שייקה_לוי
שמונה_בעקבות_אחד_(סרט),שמונה בעקבות אחד,1964,ילדים,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,0,אלישבע מיכאלי,אלישבע_מיכאלי
