u,v,years_ahead,probability,v_career_length,director_overlap
אלון_דהן_(שחקן),רותם_זיסמן-כהן,2,0.6078679434977025,4,1
אורי_הוכמן,שרון_אלכסנדר,2,0.5050273625538954,32,0
דאנה_איבגי,שרון_אלכסנדר,2,0.9966666666666667,32,3
דנה_פרידר,עופר_שכטר,2,0.7527878760976511,10,1
גילה_אלמגור,הילה_פלדמן,2,0.8138809849515545,1,1
גילה_אלמגור,ישי_גולן,2,0.5139404854468695,1,1
לירון_לבו,נטלי_עטיה,2,0.7560925489663491,18,1
שלומי_קוריאט,תומר_שרון,2,0.7738054004160131,1,0
יהורם_גאון,שלומי_קוריאט,2,0.9148281380784808,5,1
אניה_בוקשטיין,ליא_קניג,2,0.6925869838684463,45,1
לירון_בן-שלוש,שרון_אלכסנדר,2,0.8351955013745022,32,1
עופר_חיון,עופר_שכטר,2,0.7111273816461444,10,1
יהורם_גאון,תומר_שרון,2,0.6792483289966075,1,0
יעל_אבקסיס,נטלי_עטיה,2,0.8101010889683858,18,1
שירה_האס,שרה_אדלר,2,0.6957688887085803,9,1
נעמי_לבוב,שלומי_קוריאט,2,0.6121586772322141,5,1
דביר_בנדק,קובי_פרג',2,0.9885671417854464,2,1
אורי_הוכמן,יעל_אבקסיס,2,0.5924573863896893,23,0
דאנה_איבגי,יעל_אבקסיס,2,0.9583267802533858,23,3
גיל_פרנק,נתן_רביץ,2,0.8372282120439507,1,1
משה_איבגי,נטלי_עטיה,2,0.7775923596523254,18,1
הילה_פלדמן,מיכאל_אלוני,2,0.6146667649541196,5,1
חיים_זנאתי,רותם_זיסמן-כהן,2,0.5090328016726974,4,1
דביר_בנדק,דודו_טסה,2,0.928168972937727,1,1
אליאנה_תדהר,עפר_שכטר,2,0.821613558112849,4,0
אורי_הוכמן,משה_איבגי,2,0.6208410954734918,32,0
אניה_בוקשטיין,קרן_מור,2,0.9966666666666667,25,2
דודו_טסה,קובי_פרג',2,0.868444075492846,2,1
שמיל_בן_ארי,שרון_אלכסנדר,2,0.9933333333333333,32,2
נעמי_לבוב,עוז_זהבי,2,0.6722052673266746,6,1
קרן_ברגר,רועי_אסף,2,0.96832895888014,7,1
משה_איבגי,נורמן_עיסא,2,0.9295390083158812,1,1
אליאנה_תדהר,שלומי_קוריאט,2,0.6966151595332589,5,0
יורם_חטב,שרון_אלכסנדר,2,0.8790847504518299,32,1
אנה_דוברוביצקי,שמיל_בן_ארי,2,0.8874714488356231,19,1
גילה_אלמגור,מיקי_לאון,2,0.9354084455926841,5,1
מיטל_גל_סויסה,מלי_לוי,2,0.8059104281486432,10,1
אושרי_כהן,נעמי_לבוב,2,0.8599926494066491,1,1
מוריס_כהן_(שחקן),רותם_זיסמן-כהן,2,0.6547074189239616,4,1
גל_זייד,יובל_סגל_(1971),2,0.9611648017723478,12,1
אושרי_כהן,שלומי_קוריאט,2,0.940784932990067,5,1
אוולין_הגואל,חיים_זנאתי,2,0.8468038057855035,3,1
אנה_דוברוביצקי,לירון_בן-שלוש,2,0.6647438934639047,6,1
ליאור_אשכנזי,שרה_אדלר,2,0.9092193702096252,9,1
ישי_גולן,מיכאל_אלוני,2,0.6780743997893294,5,1
אורי_גבריאל,שי_אביבי,3,0.9966666666666667,22,1
מיכאל_אלוני,מיקי_לאון,3,0.8257036708104749,5,2
אנה_דוברוביצקי,יורם_חטב,3,0.9097565584257516,6,1
יפתח_קליין,ליא_קניג,3,0.627231487174133,45,1
דניאל_מורשת,עפר_שכטר,3,0.8268904767463027,4,0
יחזקאל_לזרוב,יעל_אבקסיס,3,1.0,23,1
אריה_צ'רנר,יובל_סגל_(1971),3,0.9261269871705118,12,0
דב_נבון,יעל_אבקסיס,3,1.0,23,1
עוז_זהבי,עירית_שלג,3,0.8128759157021747,32,1
אלון_אבוטבול,עלי_סלימאן,3,0.975093503326007,1,1
