,degree,betweenness,closeness,eigenvector,display_name,n_costars,n_collaborations,n_films,avg_distance_giant_component,most_important_costar
מנואל_אלקסלסי_ורדי,0.0018099547511312218,0.0,0.2174761780635445,0.00013558911348941302,מנואל אלקסלסי ורדי,2,2,1,4.111336032388664,מאור שוויצר
__name__:שון גיטלמן,0.005429864253393665,0.0,0.21153932837502817,4.057844890372746e-05,שון גיטלמן,6,6,1,4.22672064777328,נאיה פדרמן
__name__:יובל גל,0.005429864253393665,0.0,0.21153932837502817,4.057844890372681e-05,יובל גל,6,6,1,4.22672064777328,נאיה פדרמן
אודי_ואביעד,0.005429864253393665,0.0,0.21153932837502817,4.0578448903726166e-05,אודי ואביעד,6,6,1,4.22672064777328,נאיה פדרמן
שמוליק_לוי,0.005429864253393665,0.0,0.21153932837502817,4.0578448903726356e-05,שמוליק לוי,6,6,1,4.22672064777328,נאיה פדרמן
__name__:אלייזה וינטראוב,0.0018099547511312218,0.0,0.2251244228578282,4.327372927667425e-05,אלייזה וינטראוב,2,2,1,3.97165991902834,אקי אבני
__name__:נתן מגד,0.0018099547511312218,0.0,0.2251244228578282,4.327372927667531e-05,נתן מגד,2,2,1,3.97165991902834,אקי אבני
__name__:מיכל רנד,0.0027149321266968325,0.0,0.19283742311593927,5.214462713327019e-06,מיכל רנד,3,3,1,4.636639676113361,אילן גנני
__name__:שולי רנד,0.0027149321266968325,0.0,0.19283742311593927,5.2144627133270025e-06,שולי רנד,3,3,1,4.636639676113361,אילן גנני
פרנקו_נרו,0.0009049773755656109,0.0,0.0009049773755656109,,פרנקו נרו,1,1,1,,
רוזמונד_פייק,0.0,0.0,0.0,,רוזמונד פייק,0,0,1,,
שלמה_בר-שביט,0.0027149321266968325,0.0,0.22426713259561248,0.00018074557962882584,שלמה בר-שביט,3,3,1,3.986842105263158,אפרת דור
סשה_אגרונוב,0.0018099547511312218,0.0,0.22621977856443476,5.70568347980769e-05,סשה אגרונוב,2,2,1,3.9524291497975708,צחי גראד
דניאלה_וירצר,0.0027149321266968325,0.0,0.21849820313977683,2.166534201235012e-05,דניאלה וירצר,3,3,1,4.092105263157895,אוהד קנולר
אלון_פרידמן,0.0027149321266968325,0.0,0.21849820313977683,2.1665342012349905e-05,אלון פרידמן,3,3,1,4.092105263157895,אוהד קנולר
ירון_מוטולה,0.004524886877828055,0.0,0.24511327283410592,0.00011339698424420115,ירון מוטולה,5,5,1,3.6477732793522266,אורי הוכמן
__name__:תיעודי,0.0,0.0,0.0,,תיעודי,0,0,1,,
שרית_לארי,0.0036199095022624436,0.0,0.22832469250300277,0.0001318627893954743,שרית לארי,4,4,1,3.915991902834008,יחזקאל לזרוב
__name__:אבי שניידמן,0.0036199095022624436,0.0,0.22832469250300277,0.00013186278939547345,אבי שניידמן,4,4,1,3.915991902834008,יחזקאל לזרוב
יוסי_גרבר,0.0018099547511312218,0.0,0.22867932572977417,7.378131639201804e-05,יוסי גרבר,2,2,1,3.909919028340081,גילה אלמגור
__name__:רמי דוידוף,0.0018099547511312218,0.0,0.23998593732521534,0.00010875459690933742,רמי דוידוף,2,2,1,3.7257085020242915,אלון אבוטבול
ראובן_דיין,0.0018099547511312218,0.0,0.2564261931187569,0.0006795548497014546,ראובן דיין,2,2,1,3.486842105263158,אלברט אילוז
__name__:רואי אלסברג,0.0018099547511312218,0.0,0.2112863514216976,2.486095068287195e-05,רואי אלסברג,2,2,1,4.231781376518219,אורלי זילברשץ
__name__:יהודה אלמגור,0.0018099547511312218,0.0,0.2112863514216976,2.486095068287265e-05,יהודה אלמגור,2,2,1,4.231781376518219,אורלי זילברשץ
יואל_רוזנקיאר,0.006334841628959276,0.0,0.23259300560666604,0.003735010957678711,יואל רוזנקיאר,7,7,1,3.8441295546558703,דובר קוסאשווילי
__name__:מיכה רוזנקיאר,0.006334841628959276,0.0,0.23259300560666604,0.0037350109576787124,מיכה רוזנקיאר,7,7,1,3.8441295546558703,דובר קוסאשווילי
__name__:רוי קרניאל,0.006334841628959276,0.0,0.23259300560666604,0.003735010957678712,רוי קרניאל,7,7,1,3.8441295546558703,דובר קוסאשווילי
לינור_אברג'יל,0.01809954751131222,0.0,0.2740037950664137,0.10339666126619707,לינור אברג'יל,20,21,1,3.263157894736842,אוולין הגואל
ירון_לוי_סבג,0.01809954751131222,0.0,0.2740037950664137,0.10339666126619708,ירון לוי סבג,20,21,1,3.263157894736842,אוולין הגואל
יוסי_וידר,0.01809954751131222,0.0,0.2740037950664137,0.10339666126619708,יוסי וידר,20,21,1,3.263157894736842,אוולין הגואל
__name__:מיכל פורס,0.0027149321266968325,0.0,0.21774420391770216,2.4196817776725037e-05,מיכל פורס,3,3,1,4.1062753036437245,אוהד קנולר
הילה_מצקר-הלוי,0.0036199095022624436,0.0,0.18006282822953887,0.00016694531166397053,הילה מצקר-הלוי,4,4,1,4.965587044534413,מעין וינשטוק
לבן_סגינשווילי,0.02262443438914027,0.0,0.2731565353414093,0.11084675328616823,לבן סגינשווילי,25,25,1,3.2732793522267207,אוולין הגואל
__name__:ענבל גלאם,0.02262443438914027,0.0,0.2731565353414093,0.11084675328616822,ענבל גלאם,25,25,1,3.2732793522267207,אוולין הגואל
__name__:לירז עוזרי,0.02262443438914027,0.0,0.2731565353414093,0.11084675328616825,לירז עוזרי,25,25,1,3.2732793522267207,אוולין הגואל
__name__:יאיר פורטל,0.02262443438914027,0.0,0.2731565353414093,0.11084675328616825,יאיר פורטל,25,25,1,3.2732793522267207,אוולין הגואל
__name__:מישל גוריאשוילי,0.02262443438914027,0.0,0.2731565353414093,0.11084675328616819,מישל גוריאשוילי,25,25,1,3.2732793522267207,אוולין הגואל
__name__:מאיה ורדזאולי,0.02262443438914027,0.0,0.2731565353414093,0.11084675328616825,מאיה ורדזאולי,25,25,1,3.2732793522267207,אוולין הגואל
__name__:גנגה אליקשוילי,0.02262443438914027,0.0,0.2731565353414093,0.11084675328616822,גנגה אליקשוילי,25,25,1,3.2732793522267207,אוולין הגואל
__name__:פאטה גוליאשווילי ו,0.02262443438914027,0.0,0.2731565353414093,0.11084675328616826,פאטה גוליאשווילי ו,25,25,1,3.2732793522267207,אוולין הגואל
__name__:מעיין הרוש,0.0036199095022624436,0.0,0.18006282822953887,0.00016694531166397048,מעיין הרוש,4,4,1,4.965587044534413,מעין וינשטוק
אבשלום_פולק,0.0018099547511312218,0.0,0.217155416738967,6.444460295469875e-05,אבשלום פולק,2,2,1,4.117408906882591,שני קליין
__name__:נועה מנדל,0.0009049773755656109,0.0,0.0009049773755656109,,נועה מנדל,1,1,1,,
עדי_בילסקי,0.0036199095022624436,0.0,0.18006282822953887,0.0001669453116639702,עדי בילסקי,4,4,1,4.965587044534413,מעין וינשטוק
רוני_הדר,0.0018099547511312218,0.0,0.24031235998207773,0.00011739414975415173,רוני הדר,2,2,1,3.720647773279352,יעל אבקסיס
מי-רן_מנקס,0.0027149321266968325,0.0,0.0027149321266968325,,מי-רן מנקס,3,3,1,,
אסף_פרי,0.0027149321266968325,0.0,0.0027149321266968325,,אסף פרי,3,3,1,,
__name__:צחי סדן,0.0027149321266968325,0.0,0.0027149321266968325,,צחי סדן,3,3,1,,
__name__:אפרת וינטראוב,0.0027149321266968325,0.0,0.0027149321266968325,,אפרת וינטראוב,3,3,1,,
רמי_דנון,0.0018099547511312218,0.0,0.24031235998207773,0.00011739414975415292,רמי דנון,2,2,1,3.720647773279352,יעל אבקסיס
יונה_אליאן,0.0027149321266968325,0.0,0.2433576405768919,0.0011071931476120944,יונה אליאן,3,3,1,3.674089068825911,אורי גבריאל
אהרן_טרייטל,0.0036199095022624436,0.0,0.21678238902923133,6.539177130513692e-05,אהרן טרייטל,4,4,1,4.124493927125506,ריקי בליך
__name__:גור שטיינברג,0.0036199095022624436,0.0,0.21678238902923133,6.539177130513858e-05,גור שטיינברג,4,4,1,4.124493927125506,ריקי בליך
__name__:מיקה רייס,0.004524886877828055,0.0,0.22341634681186587,4.4094577591841016e-05,מיקה רייס,5,5,1,4.002024291497976,תיקי דיין
__name__:שמוליק כהן,0.004524886877828055,0.0,0.22341634681186587,4.409457759184141e-05,שמוליק כהן,5,5,1,4.002024291497976,תיקי דיין
__name__:משה ויידר,0.004524886877828055,0.0,0.22341634681186587,4.4094577591839796e-05,משה ויידר,5,5,1,4.002024291497976,תיקי דיין
אייל_נחמיאס,0.0009049773755656109,0.0,0.0009049773755656109,,אייל נחמיאס,1,1,1,,
גבי_דן,0.011764705882352941,0.0,0.26696531740529394,0.030956270357630208,גבי דן,13,13,1,3.3491902834008096,יגאל עדיקא
עודד_מנסטר,0.011764705882352941,0.0,0.26696531740529394,0.03095627035763023,עודד מנסטר,13,13,1,3.3491902834008096,יגאל עדיקא
אוהד_שחר,0.0036199095022624436,0.0,0.23689681826069126,7.293721017534826e-05,אוהד שחר,4,4,1,3.7742914979757085,אורי קלאוזנר
__name__:מוחמד גזאוי,0.0027149321266968325,0.0,0.20553472203213533,2.6444448876550953e-05,מוחמד גזאוי,3,3,1,4.350202429149798,ח'ליפה נאטור
