actor_id,actor_name,actor_slug
גברי_בנאי,גברי בנאי,גברי_בנאי
גברי_לוי,גברי לוי,גברי_לוי
גבריאל_לוין,גבריאל לוין,גבריאל_לוין
גדי_יגיל,גדי יגיל,גדי_יגיל
גדליה_בסר,גדליה בסר,גדליה_בסר
גדעון_זינגר,גדעון זינגר,גדעון_זינגר
גדעון_שמר,גדעון שמר,גדעון_שמר
__name__:גור בנטביץ',גור בנטביץ',
גור_בנטביץ',גור בנטביץ',גור_בנטביץ'
__name__:גור יערי,גור יערי,
__name__:גור שטיינברג,גור שטיינברג,
גורי_אלפי,גורי אלפי,גורי_אלפי
גיא_אדלר_(שחקן),גיא אדלר,גיא_אדלר_(שחקן)
__name__:גיא גארנר,גיא גארנר,
גיא_לואל,גיא לואל,גיא_לואל
גיא_מרוז,גיא מרוז,גיא_מרוז
גיא_עמיר,גיא עמיר,גיא_עמיר
__name__:גיא קפולניק,גיא קפולניק,
גידי_גוב,גידי גוב,גידי_גוב
גיה_באר_גורביץ',גיה באר גורביץ',גיה_באר_גורביץ'
__name__:גיטה אמלי,גיטה אמלי,
גיל_דסיאנו_ביטון,גיל דסיאנו ביטון,גיל_דסיאנו_ביטון
גיל_וייס,גיל וייס,גיל_וייס
גיל_ססובר,גיל ססובר,גיל_ססובר
גיל_פרנק,גיל פרנק,גיל_פרנק
__name__:גילה אלמגור,גילה אלמגור,
גילה_אלמגור,גילה אלמגור,גילה_אלמגור
גילי_בן_אוזיליו,גילי בן אוזיליו,גילי_בן_אוזיליו
גילי_סער,גילי סער,גילי_סער
גילי_שושן,גילי שושן,גילי_שושן
גילת_אנקורי,גילת אנקורי,גילת_אנקורי
גל_אמיתי,גל אמיתי,גל_אמיתי
גל_גדות,גל גדות,גל_גדות
גל_זייד,גל זייד,גל_זייד
__name__:גל זייד,גל זייד,
גל_לב,גל לב,גל_לב
גל_מלכה_(שחקנית),גל מלכה,גל_מלכה_(שחקנית)
__name__:גל סלמון,גל סלמון,
גל_פרידמן_(שחקן),גל פרידמן,גל_פרידמן_(שחקן)
גל_תורן,גל תורן,גל_תורן
__name__:גלי בן נר,גלי בן נר,
גלי_עטרי,גלי עטרי,גלי_עטרי
גליה_טופול,גליה טופול,גליה_טופול
גליה_ישי,גליה ישי,גליה_ישי
גלית_גיאת,גלית גיאת,גלית_גיאת
גלעד_כהנא,גלעד כהנא,גלעד_כהנא
__name__:גנגה אליקשוילי,גנגה אליקשוילי,
גפן_ברקאי,גפן ברקאי,גפן_ברקאי
גרא_סנדלר,גרא סנדלר,גרא_סנדלר
דאנה_איבגי,דאנה איבגי,דאנה_איבגי
דב_גליקמן,דב גליקמן,דב_גליקמן
דב_נבון,דב נבון,דב_נבון
__name__:דבבה אשטו,דבבה אשטו,
דבורה_קידר,דבורה קידר,דבורה_קידר
__name__:דבורה קידר,דבורה קידר,
דבי_הס,דבי הס,דבי_הס
דביר_בנדק,דביר בנדק,דביר_בנדק
דובי_גל,דובי גל,דובי_גל
__name__:דובי גל,דובי גל,
דובלה_גליקמן,דובלה גליקמן,דובלה_גליקמן
דובר_קוסאשווילי,דובר קוסאשווילי,דובר_קוסאשווילי
__name__:דוד אבידן,דוד אבידן,
__name__:דוד מזרחי,דוד מזרחי,
דוד_קוניו,דוד קוניו,דוד_קוניו
דוד_שאול,דוד שאול,דוד_שאול
דודו_ארז,דודו ארז,דודו_ארז
__name__:דודו טופז,דודו טופז,
דודו_טסה,דודו טסה,דודו_טסה
דודו_ניב,דודו ניב,דודו_ניב
__name__:דור בן אלישע,דור בן אלישע,
דור_הררי,דור הררי,דור_הררי
דור_פלס,דור פלס,דור_פלס
דור_צויגנבום,דור צויגנבום,דור_צויגנבום
דורון_נשר,דורון נשר,דורון_נשר
__name__:דורון צברי,דורון צברי,
דורון_תבורי,דורון תבורי,דורון_תבורי
דורי_בן_זאב,דורי בן זאב,דורי_בן_זאב
דורין_כספי,דורין כספי,דורין_כספי
דורית_לב_ארי,דורית לב ארי,דורית_לב_ארי
דורית_לב-ארי,דורית לב-ארי,דורית_לב-ארי
__name__:דידי פייר,דידי פייר,
__name__:דייוויד ששוני,דייוויד ששוני,
דין_מירושניקוב,דין מירושניקוב,דין_מירושניקוב
דינה_דורון,דינה דורון,דינה_דורון
דינה_לימון,דינה לימון,דינה_לימון
דינה_סנדרסון,דינה סנדרסון,דינה_סנדרסון
דיקלה,דיקלה דורי,דיקלה
__name__:דליה בגר,דליה בגר,
דליה_לביא,דליה לביא,דליה_לביא
דליה_פרידלנד,דליה פרידלנד,דליה_פרידלנד
דליה_שימקו,דליה שימקו,דליה_שימקו
דליק_ווליניץ,דליק ווליניץ,דליק_ווליניץ
דלית_קהן,דלית קהן,דלית_קהן
דן_בן_אמוץ,דן בן אמוץ,דן_בן_אמוץ
__name__:דן דויטש,דן דויטש,
__name__:דן קיזלר,דן קיזלר,
__name__:דן תורג'מן,דן תורג'מן,
דן_תורג'מן,דן תורג'מן,דן_תורג'מן
דן_תורן,דן תורן,דן_תורן
דנה_אברהם-סמו,דנה אברהם-סמו,דנה_אברהם-סמו
דנה_אברמוביץ',דנה ברקוביץ,דנה_אברמוביץ'
דנה_דבורין,דנה דבורין,דנה_דבורין
דנה_לרר,דנה לרר,דנה_לרר
דנה_פרידר,דנה פרידר,דנה_פרידר
דני_גבע,דני גבע,דני_גבע
__name__:דני חדד,דני חדד,
__name__:דני יגיל,דני יגיל,
דני_יוסטון,דני יוסטון,דני_יוסטון
דני_קליין,דני קליין,דני_קליין
__name__:דני רוטנברג,דני רוטנברג,
דני_שגב,דני שגב,דני_שגב
דני_שטג,דני שטג,דני_שטג
דניאל_אסייג,דניאל אסייג,דניאל_אסייג
דניאל_ג'יידלין,דניאל ג'יידלין,דניאל_ג'יידלין
דניאל_גד,דניאל גד,דניאל_גד
דניאל_גל,דניאל גל,דניאל_גל
דניאל_ליטמן,דניאל ליטמן,דניאל_ליטמן
דניאל_מורשת,דניאל מורשת,דניאל_מורשת
__name__:דניאל ניזרי,דניאל ניזרי,
דניאל_סבג,דניאל סבג,דניאל_סבג
דניאל_סוויסה,דניאל סוויסה,דניאל_סוויסה
דניאל_סטיופין,דניאל סטיופין,דניאל_סטיופין
__name__:דניאל עדן,דניאל עדן,
__name__:דניאל קיציס,דניאל קיציס,
__name__:דניאל קלטג'ירונה,דניאל קלטג'ירונה,
דניאלה_וירצר,דניאלה וירצר,דניאלה_וירצר
דניאלה_קרטס,דניאלה קרטס,דניאלה_קרטס
__name__:דסי הדרי,דסי הדרי,
דפנה_ארמוני,דפנה ארמוני,דפנה_ארמוני
דפנה_דקל,דפנה דקל,דפנה_דקל
דפנה_רכטר,דפנה רכטר,דפנה_רכטר
__name__:דקל וקנין,דקל וקנין,
__name__:דקר אלבז,דקר אלבז,
דר_זוזובסקי,דר זוזובסקי,דר_זוזובסקי
דרור_קרן,דרור קרן,דרור_קרן
דריה_רוזן,דריה רוזן,דריה_רוזן
__name__:דרמה,דרמה,
דרק_ג'קובי,דרק ג'קובי,דרק_ג'קובי
__name__:דשה טבורוננוביץ',דשה טבורוננוביץ',
הגר_בן_אשר,הגר בן אשר,הגר_בן_אשר
__name__:הגר בן-אשר,הגר בן-אשר,
הגשש_החיוור,הגשש החיוור,הגשש_החיוור
__name__:הדס ג'ייד סאקורי,הדס ג'ייד סאקורי,
הדס_ירון,הדס ירון,הדס_ירון
הדס_קלדרון,הדס קלדרון,הדס_קלדרון
__name__:הדר דרור,הדר דרור,
__name__:הדר כץ,הדר כץ,
