u,v,years_ahead,probability,v_career_length,director_overlap
יואב_דונט,תמר_אלקן,4,0.469834361418241,1,1
נתן_רביץ,ריקי_בליך,4,0.31704008854295507,12,1
אברהם_סלקטר,אוולין_הגואל,4,0.45798579210965956,4,1
אורלי_פרל,שני_קליין,4,0.09046130060908789,1,0
נטע_שפיגלמן,עלי_סלימאן,4,0.43910251690835955,1,1
אורנה_בנאי,יגאל_נאור,4,0.4982508758948538,18,1
אברהם_סלקטר,איציק_כהן_(שחקן),4,0.20482685438523418,1,1
איציק_כהן_(שחקן),יגאל_נאור,4,0.4893896738668627,18,1
הילה_פלדמן,ישי_גולן,4,0.3445504779531183,1,1
גלעד_כהנא,תמר_אלקן,4,0.3358258667710363,1,0
אולג_לוין,משה_אשכנזי_(שחקן),4,0.3914271652812695,1,0
אלון_דהן_(שחקן),חיים_זנאתי,4,0.46885930378352175,3,1
אמיר_טסלר,ריקי_בליך,4,0.4618331596071478,12,0
אביגיל_אריאלי,זהר_ליבה,4,0.4584200548470814,1,1
לנה_אטינגר,רותם_זיסמן-כהן,4,0.4594489025011748,4,1
אמיר_טסלר,אריה_צ'רנר,4,0.41438524894101375,1,0
נטע_שפיגלמן,עודד_לאופולד,4,0.1758823897853282,1,0
חנן_סביון,עדנה_בליליוס,4,0.4254311603918719,1,0
חיים_זנאתי,מוריס_כהן_(שחקן),4,0.30234094267776745,1,1
גלעד_כהנא,יואב_דונט,4,0.3830445205917044,1,0
מאור_שוויצר,משה_פולקנפליק,4,0.4617097081160021,1,0
עירית_קפלן,רותם_אבוהב,4,0.3755293537278056,1,1
אורי_הוכמן,עופר_חיון,4,0.4369520886853337,7,0
יאנה_יוסף,עלי_סלימאן,4,0.42755181370008055,1,0
אורנה_בנאי,איציק_כהן_(שחקן),4,0.37855213008090016,1,1
אמיר_טסלר,נתן_רביץ,4,0.3439790493693857,1,0
אורנה_בנאי,חיים_זנאתי,4,0.3741798065388458,3,1
אורי_הוכמן,נטלי_עטיה,4,0.26909687759217893,18,0
אברהם_סלקטר,חיים_זנאתי,4,0.26146347423953065,3,1
עודד_לאופולד,עלי_סלימאן,5,0.417482079805267,1,0
אברהם_סלקטר,אורנה_בנאי,5,0.2830674321750982,9,1
אורי_פפר,זהר_ליבה,5,0.46535265026877093,1,1
גילת_אנקורי,קובי_פרג',5,0.4191913651096088,2,1
גילת_אנקורי,דודו_טסה,5,0.13071090491016749,1,1
הילה_פלדמן,מיקי_לאון,5,0.45111300551633216,5,1
מרים_זוהר,עודד_תאומי,5,0.3441314831297387,51,0
אבי_קושניר,גדי_יגיל,5,0.39001527134041,43,1
