u,v,years_ahead,probability,v_career_length,director_overlap
אוהד_שחר,רועי_בר_נתן,2,0.6583516196802259,1,0
אסי_כהן,דור_פלס,2,0.602113707276119,1,1
אילן_דר,רבקה_נוימן,2,0.6430748818979685,7,1
חנה_אזולאי-הספרי,מנשה_נוי,2,0.9970814232700285,19,1
__name__:יואב סעדיאן רוזנברג,אפרת_דור,2,0.5996834010682972,4,0
טל_פרידמן,עלי_סלימאן,3,0.9433189948306131,1,1
__name__:בתיה בר,יעל_הדר,3,0.8323472958578981,20,1
ארנון_צדוק,שלום_מיכאלשווילי,3,0.5029113219727568,1,1
אושרי_כהן,קרן_מור,3,0.9966666666666667,25,1
__name__:משי אולינסקי,קרן_מור,3,0.7226970583363258,25,1
__name__:יהלי פרידמן,רותם_קינן,3,0.7870255893713647,4,0
__name__:אבי סויסה,שרון_אלכסנדר,3,0.7842365250139187,32,0
אוהד_שחר,יעקב_כהן_(שחקן),3,0.9096000639077609,5,0
יוסי_מרשק,צח_שפיצן,3,0.8127919139083135,1,2
מאור_כהן,נטע_מורן,3,0.8820216826583082,3,1
__name__:מיכל טרבס,אתי_גרוטס,3,0.6248803311045295,39,1
יגאל_נאור,רותם_אבוהב,3,0.8893938507210076,1,1
עפר_שכטר,צביקה_הדר,3,0.9587523693561324,11,1
ליאת_גליק,עמי_סמולרצ'יק,3,0.9456809897729442,17,1
__name__:עמרי פירר,נטע_מורן,3,0.5197613560637661,3,1
יורם_חטב,מיקי_לאון,3,0.7452124421372567,5,1
צופית_גרנט,רותם_זיסמן_כהן,3,0.688788265466141,1,1
מוריס_כהן_(שחקן),מיטל_גל_סויסה,3,0.5152864585123756,2,1
אנה_דוברוביצקי,חנה_אזולאי-הספרי,3,0.90045874129873,31,1
אביטל_אברג'יל,אלברט_אילוז,3,0.8790954103620042,23,1
הדר_לוי,מכרם_ח'ורי,3,0.5005721958801378,27,0
__name__:אלי בן רעי,לוסי_דובינצ'יק,3,0.8059654974218271,11,1
__name__:מיכל טרבס,יגאל_נאור,3,0.729143963604048,18,1
נטלי_עטיה,עופר_שכטר,3,0.8674176492128722,10,1
פטריק_סטיוארט,שירי_גדני,3,0.8106661413678494,1,1
__name__:מוני מושונוב,דב_נבון,3,0.6211171338215613,27,1
דנה_פרידר,פרנקו_נרו,3,0.5649981673554714,1,1
רותם_זיסמן-כהן,רמי_דנון,3,0.9038784440011967,1,1
אפרת_אביב,ריטה_שוקרון,3,0.7228132603474119,21,1
ארז_שפריר,קובי_פרג',3,0.5497243321072627,2,0
יערה_פלציג,עמנואל_הלפרין,3,0.7672940485240941,1,1
גל_פרידמן_(שחקן),פטריק_סטיוארט,3,0.7210531089796118,1,0
לירון_לב,ציון_אשכנזי,3,0.6910244799242167,1,1
יונתן_בר-אור_(1981),סאלח_בכרי,3,0.7382176268571055,1,1
אסתי_ירושלמי,לאורה_ריבלין,3,0.8432971397643308,45,1
אסיה_נייפלד,עוז_זהבי,3,0.7605608525170736,6,1
ברוך_דוד,תאופיק_ברהום,3,0.5023519691798048,1,0
אוולין_קפלון,נעמה_שנדר,3,0.5492125610802833,1,1
אופיר_נהרי,נעמה_שנדר,3,0.5461422862462175,1,1
הילה_וידור,לטי_גרובמן,3,0.6283057052025,1,1
אייל_רוזלס,מילי_אביטל,3,0.5335121069299363,15,1
אורי_חזקיה,אפרת_דור,3,0.5990806322969514,4,1
__name__:אלינור קלוגר,יבגניה_דודינה,3,0.7822740922971602,15,1
יונה_אליאן,ליאור_אשכנזי,3,0.5876219731052692,15,1
__name__:יעל בן דור,אסתר_רדא,3,0.8614774024939315,7,1
__name__:דור בן אלישע,סיגלית_פוקס,3,0.7819100717186981,11,1
חנה_מרון,חנן_סביון,3,0.6706680679049977,1,0
אביטל_אברג'יל,יובל_שם-טוב,3,0.6653342659341802,1,0
פטריק_סטיוארט,רועי_שגב,3,0.654141876582458,1,1
__name__:רפי קלמר,דור_צויגנבום,3,0.5176810470849247,19,1
__name__:אלכסנדר פילינג,עומר_ברנע,3,0.7449977424792785,8,1
ח'ליפה_נאטור,סיון_לוי,3,0.8735462502027783,3,1
אילן_קובץ',מיכל_אמדורסקי,3,0.8074174467741537,8,0
__name__:עמית מושקוביץ,היאם_עבאס,3,0.6740999030646031,5,1
__name__:שולי רנד,זאב_רווח,3,0.5155978306403562,48,0
אלכס_אנסקי,רמי_הויברגר,3,0.7399202701539185,22,1
יוסף_סוויד,רמי_דנון,3,0.7065856775757559,1,1
אביטל_אברג'יל,שמואל_וילוז'ני,3,0.5673695580655971,4,1
__name__:מאיר דסה,עליזה_רוזן,3,0.6477398938734305,43,1
אסי_לוי,עליזה_רוזן,3,0.9196825775892025,43,1
גור_בנטביץ',קרן_ברגר,3,0.6569528426255191,2,1
__name__:אבי שניידמן,אתי_אנקרי,3,0.8139806029348461,8,1
__name__:יבגני אורלוב,נעמי_לבוב,3,0.5459900679345651,1,1
אוהד_שחר,רועי_בר_נתן,3,0.6594607874299928,1,0
אסי_כהן,דור_פלס,3,0.6071180817293125,1,1
אילן_דר,רבקה_נוימן,3,0.6450678893781169,7,1
חנה_אזולאי-הספרי,מנשה_נוי,3,0.9970814232700285,19,1
__name__:יואב סעדיאן רוזנברג,אפרת_דור,3,0.6130167344016306,4,0
__name__:יפית שלו,סמדר_סייר,3,0.5144645969983681,1,1
טל_פרידמן,עלי_סלימאן,4,0.9458222713705868,1,1
__name__:בתיה בר,יעל_הדר,4,0.8351206923786229,20,1
ארנון_צדוק,שלום_מיכאלשווילי,4,0.5270802745235841,1,1
אושרי_כהן,קרן_מור,4,0.9966666666666667,25,1
__name__:משי אולינסקי,קרן_מור,4,0.7231917717624761,25,1
__name__:יהלי פרידמן,רותם_קינן,4,0.7931284410253974,4,0
__name__:אבי סויסה,שרון_אלכסנדר,4,0.7805121237338134,32,0
אוהד_שחר,יעקב_כהן_(שחקן),4,0.9225186406377327,5,0
יוסי_מרשק,צח_שפיצן,4,0.8369082905906737,1,2
מאור_כהן,נטע_מורן,4,0.8939718296495194,3,1
__name__:מיכל טרבס,אתי_גרוטס,4,0.6449764888988795,39,1
יגאל_נאור,רותם_אבוהב,4,0.8953910466551119,1,1
עפר_שכטר,צביקה_הדר,4,0.9604146615696058,11,1
ליאת_גליק,עמי_סמולרצ'יק,4,0.9476248343646206,17,1
__name__:עמרי פירר,נטע_מורן,4,0.5408255186029226,3,1
יורם_חטב,מיקי_לאון,4,0.7554930224207027,5,1
צופית_גרנט,רותם_זיסמן_כהן,4,0.6980660383288029,1,1
מוריס_כהן_(שחקן),מיטל_גל_סויסה,4,0.5380520782214706,2,1
אנה_דוברוביצקי,חנה_אזולאי-הספרי,4,0.8971254079653967,31,1
אביטל_אברג'יל,אלברט_אילוז,4,0.8805445415275303,23,1
הדר_לוי,מכרם_ח'ורי,4,0.5233378155892329,27,0
__name__:אלי בן רעי,לוסי_דובינצ'יק,4,0.8134622208818533,11,1
__name__:מיכל טרבס,יגאל_נאור,4,0.7381907629956268,18,1
נטלי_עטיה,עופר_שכטר,4,0.8674176492128722,10,1
פטריק_סטיוארט,שירי_גדני,4,0.8215974575375977,1,1
__name__:מוני מושונוב,דב_נבון,4,0.6355362968377429,27,1
דנה_פרידר,פרנקו_נרו,4,0.5815387743841679,1,1
רותם_זיסמן-כהן,רמי_דנון,4,0.923048387207837,1,1
אפרת_אביב,ריטה_שוקרון,4,0.7328132603474119,21,1
ארז_שפריר,קובי_פרג',4,0.5588986583782397,2,0
יערה_פלציג,עמנואל_הלפרין,4,0.7814552514354911,1,1
גל_פרידמן_(שחקן),פטריק_סטיוארט,4,0.7352950627047101,1,0
לירון_לב,ציון_אשכנזי,4,0.7102566542320955,1,1
יונתן_בר-אור_(1981),סאלח_בכרי,4,0.771494973352392,1,1
אסתי_ירושלמי,לאורה_ריבלין,4,0.8546854133854489,45,1
אסיה_נייפלד,עוז_זהבי,4,0.7772275191837403,6,1
ברוך_דוד,תאופיק_ברהום,4,0.5265219209975885,1,0
אוולין_קפלון,נעמה_שנדר,4,0.5896891554341614,1,1
אופיר_נהרי,נעמה_שנדר,4,0.5594732004829167,1,1
הילה_וידור,לטי_גרובמן,4,0.6516249370173263,1,1
אייל_רוזלס,מילי_אביטל,4,0.5507260628912206,15,1
אורי_חזקיה,אפרת_דור,4,0.6096366704979556,4,1
__name__:אלינור קלוגר,יבגניה_דודינה,4,0.7811065135098371,15,1
יונה_אליאן,ליאור_אשכנזי,4,0.591228109910419,15,1
__name__:יעל בן דור,אסתר_רדא,4,0.8635334425836796,7,1
__name__:דור בן אלישע,סיגלית_פוקס,4,0.7905239767243344,11,1
חנה_מרון,חנן_סביון,4,0.6884497374905201,1,0
אביטל_אברג'יל,יובל_שם-טוב,4,0.6679893796285645,1,0
פטריק_סטיוארט,רועי_שגב,4,0.6858184973487389,1,1
__name__:רפי קלמר,דור_צויגנבום,4,0.5430478211131936,19,1
__name__:אלכסנדר פילינג,עומר_ברנע,4,0.7598271790897512,8,1
ח'ליפה_נאטור,סיון_לוי,4,0.878541875749585,3,1
אילן_קובץ',מיכל_אמדורסקי,4,0.8251786920300553,8,0
__name__:עמית מושקוביץ,היאם_עבאס,4,0.682432011537156,5,1
אלכס_אנסקי,רמי_הויברגר,4,0.7370816502467353,22,1
יוסף_סוויד,רמי_דנון,4,0.7252024912336336,1,1
אביטל_אברג'יל,שמואל_וילוז'ני,4,0.592357406800774,4,1
__name__:מאיר דסה,עליזה_רוזן,4,0.6679730275244703,43,1
יגאל_עדיקא,תובל_שפיר,4,0.5005036862636257,1,0
אסי_לוי,עליזה_רוזן,4,0.928288705783209,43,1
גור_בנטביץ',קרן_ברגר,4,0.6636195092921858,2,1
__name__:אבי שניידמן,אתי_אנקרי,4,0.8503564832218712,8,1
__name__:יבגני אורלוב,נעמי_לבוב,4,0.5598706905625157,1,1
אוהד_שחר,רועי_בר_נתן,4,0.67529641525863,1,0
אסי_כהן,דור_פלס,4,0.6290774527720491,1,1
אילן_דר,רבקה_נוימן,4,0.6481162765859539,7,1
חנה_אזולאי-הספרי,מנשה_נוי,4,0.9970814232700285,19,1
__name__:יואב סעדיאן רוזנברג,אפרת_דור,4,0.6349683385826503,4,0
__name__:יפית שלו,סמדר_סייר,4,0.5465841331034428,1,1
טל_פרידמן,עלי_סלימאן,5,0.9519290012246447,1,1
__name__:בתיה בר,יעל_הדר,5,0.8491514525877133,20,1
ארנון_צדוק,שלום_מיכאלשווילי,5,0.546921323924955,1,1
אושרי_כהן,קרן_מור,5,0.9966666666666667,25,1
__name__:משי אולינסקי,קרן_מור,5,0.7309617659247645,25,1
__name__:יהלי פרידמן,רותם_קינן,5,0.7997747037740224,4,0
__name__:אבי סויסה,שרון_אלכסנדר,5,0.7855475603545915,32,0
אוהד_שחר,יעקב_כהן_(שחקן),5,0.9225186406377327,5,0
יוסי_מרשק,צח_שפיצן,5,0.8546695358465753,1,2
__name__:גור שטיינברג,מורן_אטיאס,5,0.5302372750446889,1,1
מאור_כהן,נטע_מורן,5,0.9055262886454085,3,1
__name__:מיכל טרבס,אתי_גרוטס,5,0.6657508377954711,39,1
יגאל_נאור,רותם_אבוהב,5,0.9053871480435075,1,1
עפר_שכטר,צביקה_הדר,5,0.9604146615696058,11,1
ארנון_צדוק,עידית_צור,5,0.5221556616972057,1,0
ליאת_גליק,עמי_סמולרצ'יק,5,0.950958167697954,17,1
__name__:עמרי פירר,נטע_מורן,5,0.5765005846898018,3,1
יורם_חטב,מיקי_לאון,5,0.7735195201402867,5,1
צופית_גרנט,רותם_זיסמן_כהן,5,0.7193253380686456,1,1
מוריס_כהן_(שחקן),מיטל_גל_סויסה,5,0.552602317381419,2,1
אנה_דוברוביצקי,חנה_אזולאי-הספרי,5,0.9021210335122034,31,1
אביטל_אברג'יל,אלברט_אילוז,5,0.8822068337410036,23,1
הדר_לוי,מכרם_ח'ורי,5,0.5377482296990277,27,0
__name__:אלי בן רעי,לוסי_דובינצ'יק,5,0.8269495699963515,11,1
__name__:מיכל טרבס,יגאל_נאור,5,0.7465109729693801,18,1
נטלי_עטיה,עופר_שכטר,5,0.8724054979480492,10,1
פטריק_סטיוארט,שירי_גדני,5,0.8414791594025535,1,1
__name__:מוני מושונוב,דב_נבון,5,0.6563576047247158,27,1
דנה_פרידר,פרנקו_נרו,5,0.6015522540926197,1,1
רותם_זיסמן-כהן,רמי_דנון,5,0.926929009835788,1,1
אפרת_אביב,ריטה_שוקרון,5,0.7350315907618894,21,1
__name__:דן דויטש,__name__:עמירם עיני,5,0.5048771630935648,1,1
ארז_שפריר,קובי_פרג',5,0.5633392178187991,2,0
יערה_פלציג,עמנואל_הלפרין,5,0.793102233051487,1,1
גל_פרידמן_(שחקן),פטריק_סטיוארט,5,0.7491259454509992,1,0
חגית_דסברג,מאיר_סוויסה,5,0.5232652248376066,34,1
לירון_לב,ציון_אשכנזי,5,0.7222528004469241,1,1
יונתן_בר-אור_(1981),סאלח_בכרי,5,0.7975939263948203,1,1
אסתי_ירושלמי,לאורה_ריבלין,5,0.8569037437999265,45,1
אסיה_נייפלד,עוז_זהבי,5,0.7896838539556192,6,1
ברוך_דוד,תאופיק_ברהום,5,0.5423585308708957,1,0
__name__:יחיאל אלקבץ,יורם_חטב,5,0.5127421140432318,6,1
אוולין_קפלון,נעמה_שנדר,5,0.6067849979867378,1,1
אופיר_נהרי,נעמה_שנדר,5,0.5904786352559434,1,1
הילה_וידור,לטי_גרובמן,5,0.6690640814141485,1,1
אייל_רוזלס,מילי_אביטל,5,0.5615395939665637,15,1
אורי_חזקיה,אפרת_דור,5,0.6223952440632278,4,1
__name__:אלינור קלוגר,יבגניה_דודינה,5,0.7861031111514007,15,1
יונה_אליאן,ליאור_אשכנזי,5,0.6062198419484965,15,1
__name__:יעל בן דור,אסתר_רדא,5,0.8718536525574329,7,1
__name__:דור בן אלישע,סיגלית_פוקס,5,0.8005152278179477,11,1
חנה_מרון,חנן_סביון,5,0.7032912500298153,1,0
אביטל_אברג'יל,יובל_שם-טוב,5,0.6836940967804234,1,0
פטריק_סטיוארט,רועי_שגב,5,0.6893407332805597,1,1
__name__:רפי קלמר,דור_צויגנבום,5,0.5917873156731941,19,1
__name__:אור יעקב,רפי_תבור,5,0.5171735420628814,1,0
__name__:אלכסנדר פילינג,עומר_ברנע,5,0.7650977953236702,8,1
ח'ליפה_נאטור,סיון_לוי,5,0.8893631836365579,3,1
אילן_קובץ',מיכל_אמדורסקי,5,0.8318366097903354,8,0
__name__:עמית מושקוביץ,היאם_עבאס,5,0.6920433837345887,5,1
__name__:שולי רנד,זאב_רווח,5,0.515250811849913,48,0
אלכס_אנסקי,רמי_הויברגר,5,0.7431893521955505,22,1
יוסף_סוויד,רמי_דנון,5,0.7317360489292145,1,1
אביטל_אברג'יל,שמואל_וילוז'ני,5,0.6109606828714036,4,1
